Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Lcorl	ligand dependent nuclear receptor corepressor-like	MGI:MGI:2651932	A830039H10Rik|Mlr1
Insig2	insulin induced gene 2	MGI:MGI:1920249	2900053I11Rik|C730043J18Rik|Insig-2
Zfp426	zinc finger protein 426	MGI:MGI:1920248	2900057C04Rik|KRAB1|Zfo61|Zfp68-rs1
Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	MGI:MGI:95777	Galphas|G alpha s|Gnas1|Gnasxl|Gsa|Gs alpha|Gs-alpha|Nesp|Nesp55|Nespl|neuroendocrine-specific Golgi protein p55 isoform 1|Oedsml|P1|P2|P3|SCG6|XLalphas
Prkrir	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)	MGI:MGI:1920231	2900052B10Rik|Dap4
Zmym1	zinc finger, MYM domain containing 1	MGI:MGI:1915560	5830412B09Rik
Glo1	glyoxalase 1	MGI:MGI:95742	0610009E22Rik|1110008E19Rik|2510049H23Rik|Glo-1|Glo-1r|Glo1-r|Glo-1s|Glo1-s|Qglo
Zfp493	zinc finger protein 493	MGI:MGI:1920208	2900054J07Rik
Ciao1	cytosolic iron-sulfur protein assembly 1	MGI:MGI:1346998	Wdr39
Vax2	ventral anterior homeobox 2	MGI:MGI:1346018	
Zfp30	zinc finger protein 30	MGI:MGI:99178	2610306P15Rik|Zfp-30
Zscan2	zinc finger and SCAN domain containing 2	MGI:MGI:99176	Zfp29|Zfp-29
Zfp28	zinc finger protein 28	MGI:MGI:99175	2810438M17Rik|mkr-5|Zfp-28
Zfp27	zinc finger protein 27	MGI:MGI:99174	mkr-4|Zfp-27
Zfp26	zinc finger protein 26	MGI:MGI:99173	5033428C05Rik|KRAB15|mkr-3|Zfp-26|Zfp70|Zfp81-rs1
Zfp2	zinc finger protein 2	MGI:MGI:99167	9930007F06Rik|Fnp-2|mkr-2|Zfp-2
Pcgf2	polycomb group ring finger 2	MGI:MGI:99161	mel-18|Mel18|Rnf110|Zfp144
Zfp14	zinc finger protein 14	MGI:MGI:99160	4732429I09Rik|Krox-9|Zfp-14
Zfp13	zinc finger protein 13	MGI:MGI:99159	Krox-8|Zfp-13
Zfp12	zinc finger protein 12	MGI:MGI:99157	Krox-7|Zfp-12
Zfp11	zinc finger protein 11	MGI:MGI:99156	Krox-6|Zfp-11
Zfp1	zinc finger protein 1	MGI:MGI:99154	Fnp-1|mkr-1|Zfp-1
Yy1	YY1 transcription factor	MGI:MGI:99150	delta transcription factor|NF-E1|UCRBP transcription factor|Yin Yang 1
Yes1	YES proto-oncogene 1, Src family tyrosine kinase	MGI:MGI:99147	Yes
Ybx1	Y box protein 1	MGI:MGI:99146	dbpB|DNA binding protein B|EF1A|MSY1|Nsep1|YB-1
Cmtm2a	CKLF-like MARVEL transmembrane domain containing 2A	MGI:MGI:2447160	1700001K04Rik|1700041N15Rik|1700063K20Rik|ARR19|Cklf|Cklfsf2a
Rbak	RB-associated KRAB zinc finger	MGI:MGI:1927369	
Acvrl1	activin A receptor, type II-like 1	MGI:MGI:1338946	activin receptor-like kinase-1|Acvrlk1|Alk1|Alk-1
Acvr1b	activin A receptor, type 1B	MGI:MGI:1338944	ActRIB|ActR-IB|Acvrlk4|Alk4|SKR2
Zfp72	zinc finger protein 72	MGI:MGI:3033356	Zfp74
Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)	MGI:MGI:1276574	5830445G22Rik|9430010A17Rik|C130020C13Rik|D030027O06Rik|D930023B08Rik|Whsc1l
Bmpr1a	bone morphogenetic protein receptor, type 1A	MGI:MGI:1338938	1110037I22Rik|ALK3|Bmpr|BMPR-IA
Il25	interleukin 25	MGI:MGI:2155888	Il17e|IL-17E
Nfe2l2	nuclear factor, erythroid derived 2, like 2	MGI:MGI:108420	Nrf2
S100a1	S100 calcium binding protein A1	MGI:MGI:1338917	S100|S100a
Nsd1	nuclear receptor-binding SET-domain protein 1	MGI:MGI:1276545	KMT3B
Crlf3	cytokine receptor-like factor 3	MGI:MGI:1860086	Creme9|cytor4
Rhox2a	reproductive homeobox 2A	MGI:MGI:1922449	4930539I12Rik|Rhox2
Ncoa3	nuclear receptor coactivator 3	MGI:MGI:1276535	2010305B15Rik|AIB1|bHLHe42|KAT13B|pCIP|RAC3|Src3|TRAM1|TRAM-1
Ncoa2	nuclear receptor coactivator 2	MGI:MGI:1276533	bHLHe75|D1Ertd433e|glucocorticoid receptor-interacting protein 1|Grip1|KAT13C|SRC-2|TIF2|TIF-2|TIF2/GRIP-1
Ncoa1	nuclear receptor coactivator 1	MGI:MGI:1276523	bHLHe74|KAT13A|SRC1|SRC-1|SRC-a/NCoA-1|steroid receptor coactivator-1
Zscan5b	zinc finger and SCAN domain containing 5B	MGI:MGI:2159640	Zfg1|Zfp371
Zfp954	zinc finger protein 954	MGI:MGI:1917764	5730403M16Rik
Bbx	bobby sox homolog (Drosophila)	MGI:MGI:1917758	5530401J07Rik|5730403O13Rik
Cdk5r1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	MGI:MGI:101764	D11Bwg0379e|p25|p35
Zfp111	zinc finger protein 111	MGI:MGI:1929114	
Atad2	ATPase family, AAA domain containing 2	MGI:MGI:1917722	2610509G12Rik
Rprd1b	regulation of nuclear pre-mRNA domain containing 1B	MGI:MGI:1917720	2610304G08Rik|2810446G03Rik|Crept
Wdr77	WD repeat domain 77	MGI:MGI:1917715	2610003I18Rik|2610312E17Rik|p44/MEP50
Crtc3	CREB regulated transcription coactivator 3	MGI:MGI:1917711	2610312F20Rik|6332415K15Rik
Trim27	tripartite motif-containing 27	MGI:MGI:97904	Rfp
Ret	ret proto-oncogene	MGI:MGI:97902	c-Ret|RET51|RET9
Txnip	thioredoxin interacting protein	MGI:MGI:1889549	Hyplip1|mVDUP1|THIF|VDUP1
Zfp758	zinc finger protein 758	MGI:MGI:2385044	
Polr3gl	polymerase (RNA) III (DNA directed) polypeptide G like	MGI:MGI:1917120	2010003I19Rik
Adar	adenosine deaminase, RNA-specific	MGI:MGI:1889575	ADAR1|Adar1p110|Adar1p150|mZaADAR
Sall1	sal-like 1 (Drosophila)	MGI:MGI:1889585	Msal-3
Mlxipl	MLX interacting protein-like	MGI:MGI:1927999	bHLHd14|ChREBP|Wbscr14|WS-bHLH
Slc33a1	solute carrier family 33 (acetyl-CoA transporter), member 1	MGI:MGI:1332247	Acatn|D630022N01Rik
Nkap	NFKB activating protein	MGI:MGI:1914300	2610020O08Rik
Zfp219	zinc finger protein 219	MGI:MGI:1917140	2010302A17Rik
Bhlhe23	basic helix-loop-helix family, member e23	MGI:MGI:2153710	A930001L02Rik|BETA4|beta-cell E-box transactivating factor 4|Bhlhb4
Csde1	cold shock domain containing E1, RNA binding	MGI:MGI:92356	D3Jfr1|unr
Zfp329	zinc finger protein 329	MGI:MGI:1921283	2810439M05Rik|4632409L22Rik
Nrarp	Notch-regulated ankyrin repeat protein	MGI:MGI:1914372	2700054M22Rik
Med13l	mediator complex subunit 13-like	MGI:MGI:2670178	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L
Zscan4f	zinc finger and SCAN domain containing 4F	MGI:MGI:3708485	C330039H09Rik
Zfp772	zinc finger protein 772	MGI:MGI:2385265	
Padi4	peptidyl arginine deiminase, type IV	MGI:MGI:1338898	Pad4|PAD type IV|Pdi4
Padi2	peptidyl arginine deiminase, type II	MGI:MGI:1338892	PAD type II|Pdi|Pdi2
Ripply2	ripply transcriptional repressor 2	MGI:MGI:2685968	C030002E08Rik|LOC382089
Foxr1	forkhead box R1	MGI:MGI:2685961	Foxn5|LOC382074
Btrc	beta-transducin repeat containing protein	MGI:MGI:1338871	beta-TrCP|Beta-Trcp1|Fbw1a|SCF b-TRCP|Slimb
Jpx	Jpx transcript, Xist activator (non-protein coding)	MGI:MGI:2180008	2010000I03Rik|2510040I06Rik|Enox
Klf2	Kruppel-like factor 2 (lung)	MGI:MGI:1342772	Lklf
Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	MGI:MGI:1342774	A830037N07Rik|Gm11133|Pgc1|Pgc-1alpha|Pgc-1alphaa|Pgco1|PPAR Gamma Coactivator-1
Lpar5	lysophosphatidic acid receptor 5	MGI:MGI:2685918	Gpr92|GPR93|LOC381810|LPA5
Maz	MYC-associated zinc finger protein (purine-binding transcription factor)	MGI:MGI:1338823	Pur-1|PUR1|SAF-1|SAF-2
Sirt6	sirtuin 6	MGI:MGI:1354161	2810449N18Rik
Rbm14	RNA binding motif protein 14	MGI:MGI:1929092	1300007E16Rik|p16|PSP2
Hist1h2al	histone cluster 1, H2al	MGI:MGI:3646032	EG667728
Rel	reticuloendotheliosis oncogene	MGI:MGI:97897	c-Rel
Rfc1	replication factor C (activator 1) 1	MGI:MGI:97891	140kDa|Alp145|Recc1|RFC140
Rbm15	RNA binding motif protein 15	MGI:MGI:2443205	C230088J01Rik
Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	MGI:MGI:1338803	
Htra1	HtrA serine peptidase 1	MGI:MGI:1929076	insulin-like growth factor binding protein 5 protease|L56|Prss11|RSPP11
Rb1	retinoblastoma 1	MGI:MGI:97874	pRb|Rb|Rb-1
Rnf8	ring finger protein 8	MGI:MGI:1929069	3830404E21Rik|AIP37
Zbtb49	zinc finger and BTB domain containing 49	MGI:MGI:1922329	4930518A03Rik|Zfp509
Rybp	RING1 and YY1 binding protein	MGI:MGI:1929059	2410018J24Rik|DEDAF
Rarg	retinoic acid receptor, gamma	MGI:MGI:97858	RARgamma2|RAR gamma 2
Rarb	retinoic acid receptor, beta	MGI:MGI:97857	Hap|RARbeta2|RAR beta 2
Meis2	Meis homeobox 2	MGI:MGI:108564	A430109D20Rik|Mrg1|Stra10
Mospd1	motile sperm domain containing 1	MGI:MGI:1917630	1810018L05Rik
Npas4	neuronal PAS domain protein 4	MGI:MGI:2664186	LE-PAS|Nxf
Pthlh	parathyroid hormone-like peptide	MGI:MGI:97800	parathyroid hormone-like hormone|parathyroid hormone-related peptide|parathyroid hormone-related protein|PTH-like|PTH-related peptide|Pthrp
Tbx3	T-box 3	MGI:MGI:98495	D5Ertd189e
Basp1	brain abundant, membrane attached signal protein 1	MGI:MGI:1917600	2610024P12Rik|CAP23|CAP-23|Ckap3
H2afb3	H2A histone family, member B3	MGI:MGI:3644875	EG624957|H2A.Bbd3|H2afb3-ps
Strap	serine/threonine kinase receptor associated protein	MGI:MGI:1329037	C78091|Unrip
Brwd1	bromodomain and WD repeat domain containing 1	MGI:MGI:1890651	5330419I02Rik|D530019K20Rik|G1-403-16|repro5|Wdr9
Rnf141	ring finger protein 141	MGI:MGI:1914400	2610110L04Rik|ZFP36|ZNF230
Zfp110	zinc finger protein 110	MGI:MGI:1890378	2900024E01Rik|NRIF|Nrif1
Glis2	GLIS family zinc finger 2	MGI:MGI:1932535	Nkl
Pex14	peroxisomal biogenesis factor 14	MGI:MGI:1927868	Pex14p
Zfp280b	zinc finger protein 280B	MGI:MGI:1927865	D10Jhu82e|Suhw2
Zfp319	zinc finger protein 319	MGI:MGI:1890618	
Stat3	signal transducer and activator of transcription 3	MGI:MGI:103038	1110034C02Rik|Aprf
Ehmt2	euchromatic histone lysine N-methyltransferase 2	MGI:MGI:2148922	Bat8|D17Ertd710e|G9a|KMT1C|NG36
Suv39h2	suppressor of variegation 3-9 homolog 2 (Drosophila)	MGI:MGI:1890396	4930507K23Rik|D2Ertd544e|KMT1B|Suv39h histone methyltransferase
Commd8	COMM domain containing 8	MGI:MGI:1343485	D5Buc26e|IMAGE:1958590
Stat4	signal transducer and activator of transcription 4	MGI:MGI:103062	
Vdr	vitamin D receptor	MGI:MGI:103076	Nr1i1
Trip6	thyroid hormone receptor interactor 6	MGI:MGI:1343458	
Rnf38	ring finger protein 38	MGI:MGI:1920719	1700065B19Rik|2610202O07Rik|Oip1
Gtf2h4	general transcription factor II H, polypeptide 4	MGI:MGI:1338799	p52
Tada2b	transcriptional adaptor 2B	MGI:MGI:3035274	LOC231151
Rnf111	ring finger 111	MGI:MGI:1934919	Arkadia
Purb	purine rich element binding protein B	MGI:MGI:1338779	2310015K15Rik|Cager-2|D11Bwg0414e
Prdm12	PR domain containing 12	MGI:MGI:2685844	LOC381359
Fhl2	four and a half LIM domains 2	MGI:MGI:1338762	SLIM3
Adnp	activity-dependent neuroprotective protein	MGI:MGI:1338758	
Sap30bp	SAP30 binding protein	MGI:MGI:1927479	2700016D05Rik|Hcngp
Zfp445	zinc finger protein 445	MGI:MGI:2143340	ZNF168
Myo6	myosin VI	MGI:MGI:104785	Tlc
Pth	parathyroid hormone	MGI:MGI:97799	
Ptbp1	polypyrimidine tract binding protein 1	MGI:MGI:97791	hnRNP I|Ptb
Vps72	vacuolar protein sorting 72	MGI:MGI:1202305	Tcfl1|YL-1
Itch	itchy, E3 ubiquitin protein ligase	MGI:MGI:1202301	6720481N21Rik|8030492O04Rik|AIP4|C230047C07Rik
Usp47	ubiquitin specific peptidase 47	MGI:MGI:1922246	4930502N04Rik|A630020C16Rik
Zfp184	zinc finger protein 184 (Kruppel-like)	MGI:MGI:1922244	4930500C15Rik
Bclaf1	BCL2-associated transcription factor 1	MGI:MGI:1917580	2610102K23Rik|2700025J07Rik|2810454G14Rik|5730534O06Rik
Prox1	prospero homeobox 1	MGI:MGI:97772	A230003G05Rik
Gon4l	gon-4-like (C.elegans)	MGI:MGI:1917579	1500041I23Rik|2610100B20Rik
Prnp	prion protein	MGI:MGI:97769	CD230|Prn-i|Prn-p|PrP|PrPC|PrPSc|Sinc
Hdac8	histone deacetylase 8	MGI:MGI:1917565	2610007D20Rik
Cactin	cactin, spliceosome C complex subunit	MGI:MGI:1917562	2510012J08Rik
Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	MGI:MGI:1306821	4833426I10Rik|Grb4|NCKbeta
Usp21	ubiquitin specific peptidase 21	MGI:MGI:1353665	ESTM28|Usp16|Usp23|W53272
Pomc	pro-opiomelanocortin-alpha	MGI:MGI:97742	ACTH|adrenal corticotropic hormone|alpha-melanocyte stimulating hormone|alphaMSH|alpha-MSH|BE|beta-endorphin|beta-melanocyte stimulating hormone|beta-MSH|gamma-melanocyte stimulating hormone|gamma-MSH|Pomc-1
Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	MGI:MGI:1353651	NS|nucleostemin
Lhx6	LIM homeobox protein 6	MGI:MGI:1306803	
Itgb1bp1	integrin beta 1 binding protein 1	MGI:MGI:1306802	bodenin
Zfp503	zinc finger protein 503	MGI:MGI:1353644	B830002A16Rik|Nolz1|Nolz-1
Lmcd1	LIM and cysteine-rich domains 1	MGI:MGI:1353635	dyxin
Hspa8	heat shock protein 8	MGI:MGI:105384	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73
Prrx1	paired related homeobox 1	MGI:MGI:97712	A230024N07Rik|K-2|mHox|Pmx1|Prx1
Phtf1	putative homeodomain transcription factor 1	MGI:MGI:1332671	Phft
Chp2	calcineurin-like EF hand protein 2	MGI:MGI:1917511	2010110P09Rik|Cbhp2
Cbx1	chromobox 1	MGI:MGI:105369	Cbx-rs2|E430007M08Rik|HP1B|Hp1beta|M31|MOD1
Mir466d	microRNA 466d	MGI:MGI:3718531	Mirn466d|mmu-mir-466d
Siva1	SIVA1, apoptosis-inducing factor	MGI:MGI:1353606	CD27bp
Hnf4g	hepatocyte nuclear factor 4, gamma	MGI:MGI:1353604	NR2A2
Sp7	Sp7 transcription factor 7	MGI:MGI:2153568	6430578P22Rik|osterix|Osx
Rgs20	regulator of G-protein signaling 20	MGI:MGI:1929866	2900073E09Rik|Rgsz1
Zkscan16	zinc finger with KRAB and SCAN domains 16	MGI:MGI:3510405	Zfp483
Cbx6	chromobox 6	MGI:MGI:3512628	
Hic2	hypermethylated in cancer 2	MGI:MGI:1929869	HRG22
Lin28a	lin-28 homolog A (C. elegans)	MGI:MGI:1890546	Lin28|Lin-28|Tex17
Zscan26	zinc finger and SCAN domain containing 26	MGI:MGI:3531417	Zfp187
Dmbx1	diencephalon/mesencephalon homeobox 1	MGI:MGI:2153518	Atx|Cdmx|Mbx|Otx3
Pagr1a	PAXIP1 associated glutamate rich protein 1A	MGI:MGI:1914528	2900092E17Rik|C77040|PA1
Tfr2	transferrin receptor 2	MGI:MGI:1354956	Trfr2
Il23a	interleukin 23, alpha subunit p19	MGI:MGI:1932410	IL-23|IL-23p19|p19
Ikbkap	inhibitor of kappa light polypeptide enhancer in B cells, kinase complex-associated protein	MGI:MGI:1914544	3110040G09Rik|C78473|Elp1|IKAP
Maml1	mastermind like 1 (Drosophila)	MGI:MGI:1890504	D930008C07Rik|Mam-1
Sp9	trans-acting transcription factor 9	MGI:MGI:3574660	
Sp5	trans-acting transcription factor 5	MGI:MGI:1927715	
Tcf4	transcription factor 4	MGI:MGI:98506	5730422P05Rik|ASP-I2|bHLHb19|E2-2|E2.2|ITF-2|ITF-2b|ME2|MITF-2A|MITF-2B|SEF-2|SEF2-1|TFE
Uimc1	ubiquitin interaction motif containing 1	MGI:MGI:103185	9430016E08Rik|D330018D10Rik|D630032M02Rik|Rxrip110
Nfib	nuclear factor I/B	MGI:MGI:103188	6720429L07Rik|E030026I10Rik
Ascl4	achaete-scute family bHLH transcription factor 4	MGI:MGI:1914591	1700054F16Rik|bHLHa44
Ubtf	upstream binding transcription factor, RNA polymerase I	MGI:MGI:98512	A930005G04Rik|Tcfubf|UBF|UBF1
Commd2	COMM domain containing 2	MGI:MGI:1098806	1190017G07Rik|D3Ertd176e|HSPC042
Cdk12	cyclin-dependent kinase 12	MGI:MGI:1098802	1810022J16Rik|Crk7|Crkrs|D11Ertd752e
Gtf2h1	general transcription factor II H, polypeptide 1	MGI:MGI:1277216	62kDa|p62
Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	MGI:MGI:1306784	Mrg1|Msg2|p35srj
Egr3	early growth response 3	MGI:MGI:1306780	Pilot
Nlrp3	NLR family, pyrin domain containing 3	MGI:MGI:2653833	Cias1|cryopyrin|Mmig1|NALP3|Pypaf1
Sulf1	sulfatase 1	MGI:MGI:2138563	
Zfp619	zinc finger protein 619	MGI:MGI:1917477	3000002G13Rik
Cbx8	chromobox 8	MGI:MGI:1353589	Pc3|polycomb 3
Pttg1	pituitary tumor-transforming gene 1	MGI:MGI:1353578	PTTG|securin
Foxe3	forkhead box E3	MGI:MGI:1353569	FREAC8|rct
Brms1	breast cancer metastasis-suppressor 1	MGI:MGI:2388804	
Plk1	polo-like kinase 1	MGI:MGI:97621	Plk|STPK13
Plcb1	phospholipase C, beta 1	MGI:MGI:97613	3110043I21Rik
Pkd1	polycystic kidney disease 1 homolog	MGI:MGI:97603	PC1|PC-1|polycystin-1
Prkcz	protein kinase C, zeta	MGI:MGI:97602	aPKCzeta|Pkcz|zetaPKC
Prkcq	protein kinase C, theta	MGI:MGI:97601	A130035A12Rik|PKC-0|Pkcq|PKCtheta|PKC theta|PKC-theta
Prkch	protein kinase C, eta	MGI:MGI:97600	Pkch
Hsf3	heat shock transcription factor 3	MGI:MGI:3045337	B230358A15Rik
Zfp296	zinc finger protein 296	MGI:MGI:1926956	2210018A16Rik
Zfp300	zinc finger protein 300	MGI:MGI:3045326	D930016N04Rik
Foxe1	forkhead box E1	MGI:MGI:1353500	thyroid transcription factor 2|Titf2
Tlr9	toll-like receptor 9	MGI:MGI:1932389	
Zfp523	zinc finger protein 523	MGI:MGI:2687278	
Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	MGI:MGI:1328368	PITALRE
Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	MGI:MGI:1328366	Baf47|Ini1|integrase interactor 1|Snf5|SNF5/INI1
Ccnt1	cyclin T1	MGI:MGI:1328363	2810478G24Rik|CycT1
Blm	Bloom syndrome, RecQ helicase-like	MGI:MGI:1328362	
Arid3a	AT rich interactive domain 3A (BRIGHT-like)	MGI:MGI:1328360	Bright|Dri1
Klhl31	kelch-like 31	MGI:MGI:3045305	9830147P19Rik|D930047P17Rik|Kbtbd1
Mamld1	mastermind-like domain containing 1	MGI:MGI:3045303	G630014P10Rik
Wfs1	Wolfram syndrome 1 homolog (human)	MGI:MGI:1328355	wolframin
Mir7-1	microRNA 7-1	MGI:MGI:3619436	mir 7-1|miR-7a1|Mir7a1|Mirn7-1|mmu-mir-7-1|mmu-mir-7a-1|mmu-miR-7a1
Dach2	dachshund 2 (Drosophila)	MGI:MGI:1890446	9430028N04Rik
Pcbp3	poly(rC) binding protein 3	MGI:MGI:1890470	AlphaCP-3
Paxbp1	PAX3 and PAX7 binding protein 1	MGI:MGI:1914617	1810007M14Rik|Gcfc1|Pax3/7bp
Paxip1	PAX interacting (with transcription-activation domain) protein 1	MGI:MGI:1890430	D5Ertd149e|PTIP
Camk1d	calcium/calmodulin-dependent protein kinase ID	MGI:MGI:2442190	A630059D12Rik|CaMKIdelta|CKLiK|E030025C11Rik
Zfp606	zinc finger protein 606	MGI:MGI:1914620	2410022M24Rik
Bloc1s2	biogenesis of lysosomal organelles complex-1, subunit 2	MGI:MGI:1920939	2410089B13Rik|Bloc1s2a|BLOS2
Ptf1a	pancreas specific transcription factor, 1a	MGI:MGI:1328312	bHLHa29|PTF1-p48
Cxxc5	CXXC finger 5	MGI:MGI:1914643	4930415K17Rik
Ttc21b	tetratricopeptide repeat domain 21B	MGI:MGI:1920918	2410066K11Rik|aln|line 158|Thm1
Pik3r2	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 2 (p85 beta)	MGI:MGI:1098772	p85beta
Irx6	Iroquois related homeobox 6 (Drosophila)	MGI:MGI:1927642	
Rxrg	retinoid X receptor gamma	MGI:MGI:98216	Nr2b3
Prrx2	paired related homeobox 2	MGI:MGI:98218	Prx2|S8
D3Ertd254e	DNA segment, Chr 3, ERATO Doi 254, expressed	MGI:MGI:1098769	
Zfp35	zinc finger protein 35	MGI:MGI:99179	Zfp-35
Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	MGI:MGI:1098754	Tat binding protein 1|TBP-1
Foxp2	forkhead box P2	MGI:MGI:2148705	2810043D05Rik|D0Kist7
Yap1	yes-associated protein 1	MGI:MGI:103262	Yap|Yki|yorkie
Zfp36	zinc finger protein 36	MGI:MGI:99180	Nup475|Tis11|Tristetraprolin|Ttp|Zfp-36
Zscan21	zinc finger and SCAN domain containing 21	MGI:MGI:99182	CTfin51|RU49|Zfp38|Zfp-38|Zipro1
Zfp40	zinc finger protein 40	MGI:MGI:99185	NTfin12|Zfp-40
Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	MGI:MGI:103290	p65|p65 NF kappaB
Yeats2	YEATS domain containing 2	MGI:MGI:2447762	
Mir744	microRNA 744	MGI:MGI:3691603	mir-744|Mirn744|mmu-mir-744
Strm	striamin	MGI:MGI:1343201	
Zscan30	zinc finger and SCAN domain containing 30	MGI:MGI:2685600	C230097I24Rik|Zfp397os
Snai2	snail family zinc finger 2	MGI:MGI:1096393	Slug|Slugh|Snail2
Sfmbt2	Scm-like with four mbt domains 2	MGI:MGI:2447794	D2Wsu23e|D330030P06Rik
Tpr	translocated promoter region, nuclear basket protein	MGI:MGI:1922066	2610029M07Rik
Prkcb	protein kinase C, beta	MGI:MGI:97596	A130082F03Rik|Pkcb|PKC-Beta|Prkcb1|Prkcb2
Zbtb7c	zinc finger and BTB domain containing 7C	MGI:MGI:2443302	B230208J24Rik|Kr-pok|Zbtb36
Pou1f1	POU domain, class 1, transcription factor 1	MGI:MGI:97588	GHF-1|Hmp1|Pit1|Pit-1|Pit1-rs1
Pim2	proviral integration site 2	MGI:MGI:97587	DXCch3|Pim-2
Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	MGI:MGI:97583	p50alpha|p55alpha|p85alpha|PI3K
Baz1b	bromodomain adjacent to zinc finger domain, 1B	MGI:MGI:1353499	Wbscr9|WSTF
Atoh8	atonal bHLH transcription factor 8	MGI:MGI:1918343	4933425C05Rik|bHLHa21|Math6|okadin
Dmrtc1c1	DMRT-like family C1c1	MGI:MGI:1918333	4933424F23Rik|Dmrt8.3|Dmrtc1c
Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	MGI:MGI:106190	2810047E18Rik|COUP-TF interacting protein 1|CTIP1|D930021L15Rik|Evi9|Evi9a|Evi9b|Evi9c|mouse myeloid leukemia gene
Zfp773	zinc finger protein 773	MGI:MGI:1923623	2810409K11Rik
Npm1	nucleophosmin 1	MGI:MGI:106184	B23|NO38|nucleolar protein NO38
Mybbp1a	MYB binding protein (P160) 1a	MGI:MGI:106181	p160MBP|p67MBP
Tcf3	transcription factor 3	MGI:MGI:98510	A1|ALF2|bHLHb21|E12|E2A|E47|Pan1|Pan2|Tcfe2a
Brd7	bromodomain containing 7	MGI:MGI:1349766	BP75|bromodomain protein 75 kDa|CELTIX1
Hnf1b	HNF1 homeobox B	MGI:MGI:98505	hepatocyte nuclear factor-1 beta|Hnf1beta|HNF-1Beta|LFB3|Tcf2|Tcf-2|vHNF1
Hnf1a	HNF1 homeobox A	MGI:MGI:98504	hepatocyte nuclear factor 1|Hnf-1|HNF1|HNF1[a]|Hnf1alpha|HNF1-alpha|LFB1|Tcf1
Dmap1	DNA methyltransferase 1-associated protein 1	MGI:MGI:1913483	1500016M21Rik
Ptov1	prostate tumor over expressed gene 1	MGI:MGI:1933946	1110030G05Rik|Gcap3
Baz1a	bromodomain adjacent to zinc finger domain 1A	MGI:MGI:1309478	Acf1|Gtl5|Wcrf180
Cc2d1a	coiled-coil and C2 domain containing 1A	MGI:MGI:2384831	Freud-1|Tape
Trappc2	trafficking protein particle complex 2	MGI:MGI:1913476	1110066L09Rik|1810064C02Rik|MIP-2A|Sedl|TRS20
Mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1	MGI:MGI:1309464	IB1|Jip1|JIP-1|mjip-2a|Prkm8ip|Skip
Zfp369	zinc finger protein 369	MGI:MGI:2176229	B930030B22Rik|D230020H11Rik|NRIF2
Rgcc	regulator of cell cycle	MGI:MGI:1913464	1190002H23Rik|RGC-32
Med7	mediator complex subunit 7	MGI:MGI:1913463	1110063B05Rik|Crsp33|Crsp9
Commd6	COMM domain containing 6	MGI:MGI:1913450	1110059J08Rik|1700063H17Rik
Commd4	COMM domain containing 4	MGI:MGI:1913449	1110039H05Rik
Cks2	CDC28 protein kinase regulatory subunit 2	MGI:MGI:1913447	1110038L14Rik|CKSHS2
Gm3604	predicted gene 3604	MGI:MGI:3781781	
Sertad1	SERTA domain containing 1	MGI:MGI:1913438	1110032C13Rik|p34SEI-1|Sei-1|Trip-Br1
Zfp42	zinc finger protein 42	MGI:MGI:99187	Rex1|Rex-1|Zfp-42
Zscan22	zinc finger and SCAN domain containing 22	MGI:MGI:2443312	D530006B18Rik|Hkr2
Med11	mediator complex subunit 11	MGI:MGI:1913422	1110030J09Rik
Pgbd1	piggyBac transposable element derived 1	MGI:MGI:2441675	4921509E05Rik
Scml4	sex comb on midleg-like 4 (Drosophila)	MGI:MGI:2446140	
Hist2h3c1	histone cluster 2, H3c1	MGI:MGI:2448355	H3-615|H3f2|Hist2h3ca1
Setd3	SET domain containing 3	MGI:MGI:1289184	2610102I01Rik|2610305M23Rik|D12Ertd771e
Slc30a9	solute carrier family 30 (zinc transporter), member 9	MGI:MGI:1923690	2310024J23Rik|GAC63
Churc1	churchill domain containing 1	MGI:MGI:1923684	1700030P15Rik|chch|My015
Gm14124	predicted gene 14124	MGI:MGI:3652002	EG640962|Gm10749
